region,day_type,time_slice,feature,mae,mape_pct,mean_pems,mean_sl
high,weekend,off_peak,density_proxy,17.437571191326178,54.07291682671661,32.24825331174023,39.87078659948465
high,weekend,off_peak,flow_diff1,328.1301652892562,82.11397667107876,-303.7190082644628,-490.504132231405
high,weekend,off_peak,speed_diff1,1.7365702479338843,301.0386819484235,0.3578512396694218,0.9989669421487604
high,weekend,off_peak,hour_sin,0.0,0.0,-1.5460543772672634e-16,-1.5460543772672634e-16
high,weekend,off_peak,hour_cos,0.0,0.0,0.6905231011568318,0.6905231011568318
high,weekend,off_peak,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
high,weekend,off_peak,dow_cos,0.0,0.0,0.20048443395120938,0.20048443395120938
high,weekend,pm_peak,flow,2067.431818181818,46.25832697686245,4469.318181818182,5971.9375
high,weekend,pm_peak,speed,7.036363636363635,11.451609920289988,61.44431818181818,58.20738636363637
high,weekend,pm_peak,density_proxy,47.30436007535404,63.29922342499936,74.73134347596384,106.49960426282482
high,weekend,pm_peak,flow_diff1,347.31534090909093,404.28240740740745,-80.25,-105.95738636363636
high,weekend,pm_peak,speed_diff1,3.421022727272728,258.85640584694767,1.2624999999999997,-0.30113636363636365
high,weekend,pm_peak,hour_sin,0.0,0.0,-0.8847645028150134,-0.8847645028150134
high,weekend,pm_peak,hour_cos,0.0,0.0,-0.36648145657226733,-0.36648145657226733
high,weekend,pm_peak,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
high,weekend,pm_peak,dow_cos,0.0,0.0,0.20048443395120935,0.20048443395120935
low,weekday,am_peak,flow,679.6690821256038,52.852398787364244,1285.975845410628,1185.193236714976
low,weekday,am_peak,speed,2.591545893719807,3.874320215508837,66.8903381642512,64.95531400966183
low,weekday,am_peak,density_proxy,10.83385775401604,56.061231777414086,19.32504408221151,18.459855790706623
low,weekday,am_peak,flow_diff1,310.3731884057971,80.89504598938562,176.17391304347825,228.22826086956522
low,weekday,am_peak,speed_diff1,1.441425120772947,182.35294117647064,-0.2634057971014493,-0.7270531400966184
low,weekday,am_peak,hour_sin,0.0,0.0,0.8847645028150137,0.8847645028150137
low,weekday,am_peak,hour_cos,0.0,0.0,-0.366481456572267,-0.366481456572267
low,weekday,am_peak,dow_sin,0.0,0.0,0.3479115430774451,0.3479115430774451
low,weekday,am_peak,dow_cos,0.0,0.0,-0.1577536583204708,-0.1577536583204708
low,weekday,midday,flow,778.2,56.81185446845549,1369.784541062802,1733.584541062802
low,weekday,midday,speed,3.0716908212560385,4.647477597321911,66.09371980676329,64.06280193236715
low,weekday,midday,density_proxy,12.9673962291362,62.08610220880683,20.886149666030725,27.260623670419392
low,weekday,midday,flow_diff1,141.83285024154588,137.79356825051156,82.28212560386473,145.7246376811594
low,weekday,midday,speed_diff1,1.168792270531401,175.09046171660154,-0.14695652173913046,-0.10338164251207729
low,weekday,midday,hour_sin,0.0,0.0,1.1252405341369944e-16,1.1252405341369944e-16
