region,feature_group,time_slice,day_type,n_pairs,energy,wasserstein,mmd,flow_error_abs,flow_error_pct,speed_error_abs,speed_error_pct,mean_flow_pems,mean_flow_sl,mean_speed_pems,mean_speed_sl
urban,flow,am_peak,weekend,352,0.027004643866601175,0.15167410200776726,0.006914247573914123,924.2443181818181,49.197021570026976,4.96875,7.529186899473086,1878.659090909091,1998.215909090909,65.99318181818181,66.54261363636364
urban,flow,midday,weekday,1265,0.2607080790353953,0.3690319197768812,0.10178187841727027,1864.0632411067193,49.190262329013024,6.875652173913044,11.086128859980857,3789.496442687747,4572.958893280633,62.0203162055336,61.66798418972332
urban,flow,midday,weekend,440,0.22915098063712236,0.37563311857391724,0.09226777845499712,1377.0659090909091,40.435824847875736,5.365681818181819,8.379801020100306,3405.559090909091,3968.4113636363636,64.03113636363636,64.95681818181818
urban,flow,off_peak,weekday,2728,0.06149168073182443,0.2208938346355318,0.01565673409022661,913.6187683284458,71.49456465615168,5.163352898019076,7.749175411716064,1277.8856304985338,1592.8511730205278,66.58214809384164,64.56456346294938
urban,flow,off_peak,weekend,968,0.07917094046296658,0.2568564351508683,0.018666894791885436,641.9803719008264,55.41652212917327,5.026652892561983,7.56392917657666,1158.4638429752067,1408.6363636363637,66.4555785123967,65.0909090909091
urban,flow,pm_peak,weekday,979,0.1751437208466171,0.3125260979152525,0.06778001855836135,2007.4187946884576,50.91755931037055,14.473544433094993,27.22295015196868,3942.488253319714,4698.807967313585,53.16670071501532,52.84984678243105
urban,flow,pm_peak,weekend,352,0.2565896194088395,0.3939232834505898,0.09843485115462614,1479.9204545454545,44.39092977477823,5.2653409090909085,8.312478135679878,3333.8352272727275,3986.9375,63.34261363636363,64.01136363636364
high,speed,am_peak,weekday,1012,0.436062387237516,0.49003494157176786,0.13607835121015166,1974.9357707509882,45.129045449116006,11.144664031620556,19.061590516527463,4376.196640316206,5967.373517786561,58.46660079051383,52.16403162055336
high,speed,am_peak,weekend,352,0.21080032738066512,0.4123581402452179,0.07859124476885071,1158.84375,39.380835978590795,2.775568181818182,4.201210911968077,2942.659090909091,3414.150568181818,66.06590909090909,66.9971590909091
high,speed,midday,weekday,1265,0.42811327656178033,0.521605744633006,0.11435846910846081,2458.018972332016,55.73978965332416,7.230197628458499,12.433693403190333,4409.810276679842,6572.294071146245,58.15003952569169,57.21106719367589
high,speed,midday,weekend,440,0.2655520984722335,0.39432613905133485,0.077147003768397,1884.8363636363636,41.211629705162686,6.91409090909091,11.46425287529582,4573.554545454545,6076.463636363636,60.31,59.95454545454545
high,speed,off_peak,weekday,2728,0.16637059506459861,0.3758473303655886,0.05378325689730823,1201.5318914956013,56.25627197605154,2.8377932551319653,4.221518045128772,2135.8185483870966,2705.659090909091,67.22210410557184,66.15395894428153
high,speed,off_peak,weekend,968,0.18029652298395904,0.39411879638912606,0.06053073268598341,1095.9597107438017,50.550394629757044,2.9857438016528923,4.453532377559448,2168.0537190082646,2544.180785123967,67.04214876033058,66.02685950413223
high,speed,pm_peak,weekday,979,0.5108374769360906,0.5455404058970912,0.12673076348964785,2253.9581205311542,49.75387151804634,10.727374872318691,18.97257836366231,4530.216547497446,6367.545454545455,56.5414708886619,51.550561797752806
high,speed,pm_peak,weekend,352,0.5133894051622803,0.5683769671062162,0.12925662415710193,2067.431818181818,46.25832697686245,7.036363636363635,11.451609920289988,4469.318181818182,5971.9375,61.44431818181818,58.20738636363637
low,speed,am_peak,weekday,828,0.43907694394864016,0.5675453828646326,0.13269749772301342,679.6690821256038,52.852398787364244,2.591545893719807,3.874320215508837,1285.975845410628,1185.193236714976,66.8903381642512,64.95531400966183
low,speed,am_peak,weekend,288,0.2897677962124341,0.5394203314252946,0.16463980893469787,289.2638888888889,47.44380470747695,1.6291666666666664,2.4141514967533464,609.6979166666666,632.1909722222222,67.48402777777778,67.48263888888889
low,speed,midday,weekday,1035,0.44918521901044794,0.529172435358233,0.11396620169501193,778.2,56.81185446845549,3.0716908212560385,4.647477597321911,1369.784541062802,1733.584541062802,66.09371980676329,64.06280193236715
low,speed,midday,weekend,360,0.18538739690712047,0.3582902207241911,0.04358803908902398,714.1722222222222,48.63764573681393,2.3877777777777776,3.5800854622541705,1468.3527777777779,1808.125,66.69611111111112,65.96944444444445
low,speed,off_peak,weekday,2232,0.6916939221272793,0.727144626543851,0.26803935907580445,137.9144265232975,52.70073617531244,2.4615591397849466,3.662521648354726,261.69354838709677,321.2334229390681,67.20940860215053,65.27374551971326
low,speed,off_peak,weekend,792,0.6509316142824177,0.7093844455971575,0.2504267630839504,122.06565656565657,47.810884992952694,2.5727272727272728,3.8237932419296112,255.30934343434345,288.9179292929293,67.28207070707072,65.41035353535354
